pass_cmp_home_off,pass_att_home_off,pass_pct_home_off,pass_yds_home_off,pass_td_home_off,rush_att_home_off,rush_yds_home_off,rush_avg_home_off,rush_td_home_off,total_plays_home_off,total_yds_home_off,total_avg_home_off,penalty_num_home_off,penalty_yds_home_off,fumbles_home_off,interceptions_home_off,turnovers_home_off,pass_cmp_home_def,pass_att_home_def,pass_pct_home_def,pass_yds_home_def,pass_td_home_def,rush_att_home_def,rush_yds_home_def,rush_avg_home_def,rush_td_home_def,total_plays_home_def,total_yds_home_def,total_avg_home_def,penalty_num_home_def,penalty_yds_home_def,fumbles_home_def,interceptions_home_def,turnovers_home_def,pass_cmp,pass_att,pass_pct,pass_yds,pass_td,rush_att,rush_yds,rush_avg,rush_td,total_plays,total_yds,total_avg,penalty_num,penalty_yds,fumbles,interceptions,turnovers,pass_cmp_away_off,pass_att_away_off,pass_pct_away_off,pass_yds_away_off,pass_td_away_off,rush_att_away_off,rush_yds_away_off,rush_avg_away_off,rush_td_away_off,total_plays_away_off,total_yds_away_off,total_avg_away_off,penalty_num_away_off,penalty_yds_away_off,fumbles_away_off,interceptions_away_off,turnovers_away_off
17.5,30.0,58.3,178.8,0.8,35.0,150.8,4.3,1.0,65.0,329.7,5.1,6.3,58.8,0.3,0.3,0.7,18.8,32.7,57.7,208.5,1.3,43.7,181.0,4.1,1.7,76.3,389.5,5.1,6.3,51.7,0.8,1.2,2.0,19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7
19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7,17.7,32.3,54.6,204.8,1.0,30.3,79.7,2.6,0.7,62.7,284.5,4.5,4.8,42.0,1.2,1.0,2.2,17.5,27.2,64.4,196.3,1.5,41.0,160.0,3.9,1.5,68.2,356.3,5.2,6.3,49.5,0.2,0.3,0.5
25.5,43.8,58.2,282.0,1.2,35.2,112.3,3.2,1.2,79.0,394.3,5.0,4.7,42.2,1.7,1.0,2.7,16.8,28.7,58.7,230.0,2.2,40.2,176.0,4.4,1.5,68.8,406.0,5.9,5.5,49.5,0.8,0.8,1.7,19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7
16.0,24.3,65.9,231.9,2.7,36.0,208.0,5.8,2.6,60.3,439.9,7.3,5.1,52.0,0.7,0.6,1.3,24.3,36.6,66.4,293.7,1.7,39.0,145.7,3.7,2.0,75.6,439.4,5.8,5.3,40.9,0.9,0.9,1.7,19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7
19.3,29.3,65.9,228.6,1.3,37.6,205.9,5.5,2.6,66.9,434.4,6.5,6.1,61.0,0.0,0.6,0.6,21.9,35.1,62.2,260.6,1.9,34.3,142.9,4.2,0.9,69.4,403.4,5.8,5.9,61.4,1.4,0.3,1.7,19.3,35.5,54.5,227.2,0.8,32.5,129.7,4.0,1.3,68.0,356.8,5.2,7.5,71.3,1.3,1.2,2.5,20.0,30.5,65.6,212.0,1.2,40.7,163.0,4.0,1.5,71.2,375.0,5.3,7.0,64.2,1.2,0.7,1.8
19.0,32.8,57.9,242.0,2.0,28.3,113.5,4.0,1.2,61.2,355.5,5.8,8.2,76.8,1.0,0.3,1.3,22.2,35.7,62.1,278.3,1.7,43.2,172.7,4.0,1.5,78.8,451.0,5.7,7.7,65.8,1.0,1.2,2.2,21.0,35.6,59.0,214.6,1.0,34.0,107.3,3.2,1.1,69.6,321.9,4.6,8.1,67.9,0.4,1.0,1.4,19.7,33.4,59.0,222.7,1.0,33.1,133.9,4.0,1.6,66.6,356.6,5.4,7.1,64.1,0.4,0.3,0.7
21.0,35.6,59.0,214.6,1.0,34.0,107.3,3.2,1.1,69.6,321.9,4.6,8.1,67.9,0.4,1.0,1.4,19.7,33.4,59.0,222.7,1.0,33.1,133.9,4.0,1.6,66.6,356.6,5.4,7.1,64.1,0.4,0.3,0.7,25.0,39.0,64.1,271.0,1.8,38.2,191.3,5.0,2.7,77.2,462.3,6.0,6.5,55.7,0.5,0.5,1.0,17.2,29.3,58.5,262.5,2.0,31.8,112.0,3.5,1.7,61.2,374.5,6.1,7.5,70.0,0.7,0.3,1.0
22.3,31.7,70.3,216.9,1.4,45.3,198.9,4.4,1.3,77.0,415.7,5.4,7.0,65.6,1.3,0.4,1.7,13.3,30.3,43.9,143.3,0.3,28.1,77.9,2.8,0.4,58.4,221.1,3.8,4.7,42.0,0.7,1.7,2.4,19.3,35.5,54.5,227.2,0.8,32.5,129.7,4.0,1.3,68.0,356.8,5.2,7.5,71.3,1.3,1.2,2.5,20.0,30.5,65.6,212.0,1.2,40.7,163.0,4.0,1.5,71.2,375.0,5.3,7.0,64.2,1.2,0.7,1.8
19.3,35.5,54.5,227.2,0.8,32.5,129.7,4.0,1.3,68.0,356.8,5.2,7.5,71.3,1.3,1.2,2.5,20.0,30.5,65.6,212.0,1.2,40.7,163.0,4.0,1.5,71.2,375.0,5.3,7.0,64.2,1.2,0.7,1.8,19.0,32.8,57.9,242.0,2.0,28.3,113.5,4.0,1.2,61.2,355.5,5.8,8.2,76.8,1.0,0.3,1.3,22.2,35.7,62.1,278.3,1.7,43.2,172.7,4.0,1.5,78.8,451.0,5.7,7.7,65.8,1.0,1.2,2.2
19.6,29.3,66.8,266.1,2.0,40.1,154.1,3.8,2.3,69.4,420.3,6.1,4.3,34.6,0.7,0.4,1.1,16.4,27.0,60.8,166.4,1.3,36.9,132.7,3.6,0.4,63.9,299.1,4.7,6.4,52.9,0.4,0.9,1.3,8.0,17.7,45.2,76.1,0.1,47.6,166.9,3.5,0.9,65.3,243.0,3.7,8.6,73.7,0.3,1.1,1.4,14.3,26.4,54.1,202.9,1.7,38.7,182.6,4.7,2.4,65.1,385.4,5.9,5.6,48.1,0.7,1.1,1.9
