home_team,away_team,outcome,pts_for,pts_against
marshall,uab,L,14,21
charlotte,marshall,L,28,49
marshall,western-kentucky,L,21,53
marshall,louisiana,L,21,36
florida,florida-atlantic,W,35,14
florida-atlantic,georgia-southern,W,6,38
florida-atlantic,fordham,W,45,14
air-force,florida-atlantic,W,7,31
florida-atlantic,florida-international,W,58,21
uab,florida-atlantic,W,31,14
charlotte,florida-atlantic,L,38,9
florida-atlantic,utep,W,28,25
old-dominion,florida-atlantic,W,30,16
western-kentucky,florida-atlantic,W,52,17
florida-atlantic,middle-tennessee-state,L,17,27
western-kentucky,tennessee-martin,W,59,21
army,western-kentucky,W,38,35
western-kentucky,utsa,L,46,52
old-dominion,western-kentucky,L,20,43
florida-international,western-kentucky,L,19,34
western-kentucky,charlotte,W,45,13
western-kentucky,middle-tennessee-state,W,48,21
rice,western-kentucky,L,21,42
utsa,western-kentucky,W,49,41
western-kentucky,appalachian-state,W,59,38
charlotte,gardner-webb,W,38,10
georgia-state,charlotte,W,9,20
charlotte,middle-tennessee-state,W,42,39
florida-international,charlotte,L,33,45
charlotte,rice,W,31,24
louisiana-tech,charlotte,W,42,32
old-dominion,charlotte,W,56,34
middle-tennessee-state,monmouth,W,50,15
utsa,middle-tennessee-state,W,27,13
liberty,middle-tennessee-state,W,41,13
connecticut,middle-tennessee-state,L,13,44
middle-tennessee-state,southern-mississippi,W,35,10
middle-tennessee-state,florida-international,W,50,10
middle-tennessee-state,old-dominion,L,17,24
middle-tennessee-state,toledo,W,31,24
florida-international,liu,W,48,10
florida-international,texas-state,L,17,23
central-michigan,florida-international,W,31,27
florida-international,old-dominion,L,24,47
florida-international,north-texas,L,49,7
southern-mississippi,florida-international,W,37,17
old-dominion,hampton,W,7,47
liberty,old-dominion,W,45,17
old-dominion,buffalo,L,34,35
utep,old-dominion,W,28,21
old-dominion,louisiana-tech,W,23,20
old-dominion,tulsa,L,17,30
uab,jacksonville-state,W,31,0
georgia,uab,W,7,56
north-texas,uab,L,40,6
uab,liberty,L,12,36
southern-mississippi,uab,L,0,34
uab,rice,L,24,30
uab,louisiana-tech,W,52,38
utsa,uab,W,34,31
uab,utep,W,42,25
uab,byu,W,31,28
utsa,lamar,W,54,0
utsa,nevada-las-vegas,W,24,17
utsa,rice,W,45,0
louisiana-tech,utsa,L,16,45
utep,utsa,L,23,44
utsa,southern-mississippi,W,27,17
north-texas,utsa,W,45,23
utsa,san-diego-state,L,24,38
mississippi-state,louisiana-tech,W,35,34
louisiana-tech,southeastern-louisiana,W,45,42
louisiana-tech,north-texas,W,24,17
utep,louisiana-tech,W,3,19
louisiana-tech,southern-mississippi,L,19,35
rice,louisiana-tech,W,35,31
north-texas,northwestern-state,W,44,14
missouri,north-texas,W,48,35
north-texas,liberty,L,26,35
rice,north-texas,L,24,30
southern-mississippi,north-texas,L,14,38
north-texas,utep,W,20,17
north-texas,miami-(oh),L,14,27
arkansas,rice,W,38,17
rice,texas-southern,W,48,34
rice,southern-mississippi,W,24,19
utep,rice,W,38,28
south-alabama,southern-mississippi,W,7,31
southern-mississippi,grambling-state,W,37,0
southern-mississippi,troy,L,21,9
alabama,southern-mississippi,W,63,14
southern-mississippi,utep,L,13,26
new-mexico-state,utep,L,3,30
utep,bethune-cookman,W,38,28
boise-state,utep,W,54,13
utep,new-mexico,W,20,13
utep,fresno-state,L,24,31
liberty,campbell,W,7,48
troy,liberty,L,13,21
louisiana-monroe,liberty,W,31,28
liberty,massachusetts,W,62,17
ole-miss,liberty,W,27,14
liberty,louisiana,L,14,42
liberty,army,L,16,31
liberty,eastern-michigan,W,56,20
massachusetts,eastern-michigan,L,28,42
coastal-carolina,massachusetts,W,53,3
massachusetts,toledo,L,45,7
massachusetts,connecticut,W,27,13
massachusetts,rhode-island,L,22,35
massachusetts,maine,L,10,35
army,massachusetts,W,33,17
new-mexico-state,massachusetts,W,44,27
san-diego-state,new-mexico-state,W,28,10
new-mexico,new-mexico-state,W,34,25
new-mexico-state,south-carolina-state,W,43,35
new-mexico-state,hawaii,L,21,41
san-jose-state,new-mexico-state,W,37,31
nevada,new-mexico-state,W,55,28
hawaii,new-mexico-state,W,48,34
new-mexico-state,utah-state,L,13,35
alabama,new-mexico-state,W,59,3
kentucky,new-mexico-state,W,56,16
byu,arizona,W,24,16
byu,utah,W,26,17
byu,arizona-state,W,27,17
utah-state,byu,L,20,34
byu,boise-state,L,17,26
washington-state,byu,L,19,21
byu,idaho-state,W,59,14
georgia-southern,byu,L,17,34
usc,byu,L,31,35
byu,uab,L,28,31
georgia-state,army,L,10,43
army,connecticut,W,52,21
army,miami-(oh),W,23,10
ball-state,army,W,28,16
army,air-force,W,21,14
army,bucknell,W,63,10
army,navy,L,13,17
army,missouri,W,24,22
fresno-state,connecticut,W,45,0
connecticut,holy-cross,L,28,38
connecticut,wyoming,L,22,24
vanderbilt,connecticut,W,30,28
connecticut,yale,W,21,15
buffalo,wagner,W,7,69
buffalo,coastal-carolina,L,25,28
buffalo,western-michigan,L,17,24
kent-state,buffalo,W,48,38
buffalo,ohio,W,27,26
akron,buffalo,L,10,45
buffalo,bowling-green,L,44,56
miami-(oh),buffalo,W,45,18
buffalo,northern-illinois,L,27,33
ball-state,buffalo,W,3,20
texas-a&m,kent-state,W,41,10
kent-state,virginia-military-institute,W,60,10
kent-state,bowling-green,W,27,20
western-michigan,kent-state,W,64,31
ohio,kent-state,L,27,34
kent-state,northern-illinois,W,52,47
central-michigan,kent-state,W,54,30
akron,kent-state,L,0,38
kent-state,miami-(oh),W,48,47
kent-state,northern-illinois,L,23,41
kent-state,wyoming,L,38,52
miami-(oh),liu,W,7,42
miami-(oh),central-michigan,W,28,17
eastern-michigan,miami-(oh),W,13,12
miami-(oh),akron,W,34,21
ball-state,miami-(oh),L,17,24
ohio,miami-(oh),W,35,33
miami-(oh),bowling-green,W,7,34
miami-(oh),north-texas,W,27,14
ohio,duquesne,L,26,28
louisiana,ohio,W,49,14
akron,ohio,L,17,34
ohio,central-michigan,L,27,30
eastern-michigan,ohio,L,26,34
ohio,toledo,L,23,35
bowling-green,ohio,W,21,10
auburn,akron,W,60,10
akron,bryant,W,35,14
bowling-green,akron,L,20,35
akron,ball-state,L,25,31
western-michigan,akron,W,45,40
toledo,akron,W,49,14
tennessee,bowling-green,W,6,38
bowling-green,south-alabama,L,19,22
bowling-green,murray-state,W,27,10
northern-illinois,bowling-green,W,34,26
bowling-green,eastern-michigan,L,24,55
bowling-green,toledo,L,17,49
ball-state,western-illinois,W,31,21
wyoming,ball-state,W,45,12
ball-state,toledo,L,12,22
western-michigan,ball-state,L,20,45
eastern-michigan,ball-state,L,31,38
northern-illinois,ball-state,W,30,29
ball-state,central-michigan,L,17,37
ball-state,georgia-state,L,20,51
